2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RANK`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FREQUENCY`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`BAD_ROWID`, dataType=ROWID, dataLength=10, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RUN_BEGIN`, dataType=DATE, dataLength=7, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RECOMMENDED_ACTION`, dataType=VARCHAR2, dataLength=6, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`MVIEW_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DATE_VALUE`, dataType=DATE, dataLength=7, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CUMULATIVE_BENEFIT`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`NUM_VALUE1`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`QUERYID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RUN_END`, dataType=DATE, dataLength=7, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`GROUPING_LEVELS`, dataType=VARCHAR2, dataLength=2000, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`PRIORITY`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`TABLE_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ANYDATA_VALUE`, dataType=ANYDATA, dataLength=64, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`MVIEW_OWNER`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`NUM_VALUE2`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`TYPE`, dataType=VARCHAR2, dataLength=11, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`NUMERIC_VALUE`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CHAR_VALUE`, dataType=VARCHAR2, dataLength=240, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`STATUS`, dataType=VARCHAR2, dataLength=11, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`WORKLOADID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OWNER`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ERROR_CODE`, dataType=VARCHAR2, dataLength=20, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RUNID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`QUERY`, dataType=LONG, dataLength=0, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`PRODUCT`, dataType=VARCHAR2, dataLength=30, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`PROGRAM_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`COMPLETED`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DATE_VALUE2`, dataType=DATE, dataLength=7, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OUT_ARGUMENT`, dataType=VARCHAR2, dataLength=5, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RUNID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FILTERID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ALL_TABLES`, dataType=VARCHAR2, dataLength=2000, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`APPLICATION`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ARGUMENT_POSITION`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`VALUE`, dataType=VARCHAR2, dataLength=4000, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`MVIEW_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RELATIONSHIP`, dataType=VARCHAR2, dataLength=11, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`SUBFILTERTYPE`, dataType=VARCHAR2, dataLength=12, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`SUBFILTERNUM`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FILTERID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RECOMMENDATION_NUMBER`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CARDINALITY`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`JOB_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`STORAGE_IN_BYTES`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ARGUMENT_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ARGUMENT_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`MESSAGE`, dataType=VARCHAR2, dataLength=2000, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DATE_VALUE2`, dataType=DATE, dataLength=7, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RUNID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
