2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`id`, dataType=int, characterSetName=null, columnKey=PRI}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`boundary_value`, dataType=float, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`org_hierarchy_code`, dataType=varchar, characterSetName=utf8, columnKey=MUL}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_date`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`id`, dataType=bigint, characterSetName=null, columnKey=PRI}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`attachment`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`document_format`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`is_picture`, dataType=bit, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`update_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`update_by`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_by`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`is_delete`, dataType=bit, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`record_id`, dataType=bigint, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`attachment_id`, dataType=bigint, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`update_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`update_by`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_by`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`is_delete`, dataType=bit, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`id`, dataType=int, characterSetName=null, columnKey=PRI}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`device_id`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`template_unique_id`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`sso_id`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`org_hierarchy_code`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`record_type`, dataType=varchar, characterSetName=utf8, columnKey=}
